CODIGO,PRODUTO, PREÇO,IPI,CAS,NCM,ST,EXERCITO,CIVIL,FEDERAL,IBAMA,ONU,CLASSE RISCO,VALIDADE,CONCENTRACAO,DENSIDADE,CATEGORIA,SUBCATEGORIA
T03915RA,TETRACLOROETANO 98% PA 500ML," R$  384,89 ","0,00%",79-34-5,2903.19.90,NAO,N,N,N,N,1702,6.1,6 - ANO,98,"1,59",Compostos Orgânicos,Diversos
T05640RA,TETRADECANO-N 99% PA 100ML," R$  1.212,97 ","0,00%",629-59-4,2901.10.00,NAO,N,N,N,N,-,-,6 - ANO,99,"0,76",Compostos Orgânicos,Diversos
T03226RA,TETRAETILENOPENTAMINA GRAU TECNICO 1KG," R$  560,22 ","0,00%",112-57-2,2921.29.90,NAO,N,N,N,N,2320,8,6 - ANO,99,"0,99",Compostos Orgânicos,Diversos
TF06111RA,TETRAFENILBORATO DE POTASSIO 5G," R$  333,54 ","0,00%",3244-41-5,2931.90.90,NAO,N,N,N,N,-,-,6 - ANO,"96,5","1,174",Sais Inorgânicos,Boratos e Silicatos
TF04947SO,"TETRAFENILBORATO DE SODIO 0,02M 1L"," R$  195,12 ","0,00%",143-66-8,2931.90.90,NAO,N,N,N,N,2810,6.1,2 - ANO,"0,68",1,Sais Inorgânicos,Boratos e Silicatos
TF03559RA,TETRAFENILBORATO DE SODIO PA 25G," R$  209,15 ","0,00%",143-66-8,2931.90.90,NAO,N,N,N,N,2811,6.1,6 - ANO,"99,5","1,15",Sais Inorgânicos,Boratos e Silicatos
TF06820SO,"TETRAFENILBORATO DE SODIO SOL.0,0112M (STPB) 500ML"," R$  145,25 ","0,00%",143-66-8,2931.90.90,NAO,N,N,N,N,2810,6.1,2 - ANO,"0,38",1,Sais Inorgânicos,Boratos e Silicatos
TP04620RA,"TETRAMETIL-N,N,N,N - P-FENILENODIAMINA DIHIDROCLORETO PA 100G"," R$  7.024,55 ","0,00%",637-01-4,2921.51.19,NAO,N,N,N,N,-,-,6 - ANO,98,"1,19",Sais Inorgânicos,Cloretos
TP04621RA,"TETRAMETIL-N,N,N,N - P-FENILENODIAMINA DIHIDROCLORETO PA 25G"," R$  1.643,92 ","0,00%",637-01-4,2921.51.19,NAO,N,N,N,N,-,-,6 - ANO,98,"1,19",Sais Inorgânicos,Cloretos
TP04623RA,"TETRAMETIL-N,N,N,N - P-FENILENODIAMINA DIHIDROCLORETO PA 5G"," R$  375,64 ","0,00%",637-01-4,2921.51.19,NAO,N,N,N,N,-,-,6 - ANO,98,"1,19",Sais Inorgânicos,Cloretos
