termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"densidade hcl 37","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hci 37","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hcl p a","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"solução de ácido clorídrico","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido clorídrico 37 preço","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,1,3.84,33.33%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"ácido clorídrico fumegante","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool metílico pa","[Busca] - Produtos Secundários","Álcool Metílico PA-ACS",3,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol para histologia","Produtos Curva A – Reagentes PA","Anuncio - Curva A - Xileno",2,1,8.02,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcohol absoluto farmatodo","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcohol etilico 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 100 puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 40","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 70 inpm liquido","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,1,3.44,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool 92 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 92 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 92º","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 96 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 96 gl preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 96 onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 99 comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,1,2.75,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool absoluto 92","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
